"","numDF","F-value","p-value"
"lk1",1,5134.81008921921,2.226559507259e-180
"Ea",1,22697.2286216266,4.79192819980566e-267
"lk2.(Intercept)",1,35182.314378474,4.64658784840462e-293
"lk2.processing",2,640.049843430597,2.20947967581677e-104
"lk2.sweetener",1,54.4200797758648,1.90299888084095e-12
"lk3.(Intercept)",1,8688.94685855382,1.20698214979484e-210
"lk3.processing",2,88.7432579829457,1.73607759230244e-30
"lk3.sweetener",1,25.141161113818,9.54408908909983e-07
"laa0",1,76150.678112951,0
"ldhaa0",1,1711.99346008723,2.38499300127086e-120
