"","X","rep","processing","sweetener","tiempo","compound","concentration","Temp"
"1","ST1_rep1","rep1","1","ST",0.00099999999999989,"Delphinidin.3.O.sambubioside.5.O.glucoside",5.28,4
"2","ST2_rep1","rep1","2","ST",0.00099999999999989,"Delphinidin.3.O.sambubioside.5.O.glucoside",5.28,20
"3","STP_rep1","rep1","P","ST",0.00099999999999989,"Delphinidin.3.O.sambubioside.5.O.glucoside",5.28,4
"4","SU1_rep1","rep1","1","SU",0.00099999999999989,"Delphinidin.3.O.sambubioside.5.O.glucoside",5.26,20
"5","SU2_rep1","rep1","2","SU",0.00099999999999989,"Delphinidin.3.O.sambubioside.5.O.glucoside",5.26,4
"6","SUP_rep1","rep1","P","SU",0.00099999999999989,"Delphinidin.3.O.sambubioside.5.O.glucoside",5.26,20
"7","ST1_rep2","rep2","1","ST",0.00099999999999989,"Delphinidin.3.O.sambubioside.5.O.glucoside",5.23,4
"8","ST2_rep2","rep2","2","ST",0.00099999999999989,"Delphinidin.3.O.sambubioside.5.O.glucoside",5.23,20
"9","STP_rep2","rep2","P","ST",0.00099999999999989,"Delphinidin.3.O.sambubioside.5.O.glucoside",5.23,4
"10","SU1_rep2","rep2","1","SU",0.00099999999999989,"Delphinidin.3.O.sambubioside.5.O.glucoside",5.3,20
"11","SU2_rep2","rep2","2","SU",0.00099999999999989,"Delphinidin.3.O.sambubioside.5.O.glucoside",5.3,4
"12","SUP_rep2","rep2","P","SU",0.00099999999999989,"Delphinidin.3.O.sambubioside.5.O.glucoside",5.3,20
"13","ST1_rep3","rep3","1","ST",0.00099999999999989,"Delphinidin.3.O.sambubioside.5.O.glucoside",5.3,4
"14","ST2_rep3","rep3","2","ST",0.00099999999999989,"Delphinidin.3.O.sambubioside.5.O.glucoside",5.3,20
"15","STP_rep3","rep3","P","ST",0.00099999999999989,"Delphinidin.3.O.sambubioside.5.O.glucoside",5.3,4
"16","SU1_rep3","rep3","1","SU",0.00099999999999989,"Delphinidin.3.O.sambubioside.5.O.glucoside",5.28,20
"17","SU2_rep3","rep3","2","SU",0.00099999999999989,"Delphinidin.3.O.sambubioside.5.O.glucoside",5.28,4
"18","SUP_rep3","rep3","P","SU",0.00099999999999989,"Delphinidin.3.O.sambubioside.5.O.glucoside",5.28,20
"19","ST1_rep1","rep1","1","ST",1.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",5.18,4
"20","ST2_rep1","rep1","2","ST",1.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",5.17,20
"21","STP_rep1","rep1","P","ST",1.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",5.15,4
"22","SU1_rep1","rep1","1","SU",1.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",5.08,20
"23","SU2_rep1","rep1","2","SU",1.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",5.01,4
"24","SUP_rep1","rep1","P","SU",1.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",5.2,20
"25","ST1_rep2","rep2","1","ST",1.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",5.19,4
"26","ST2_rep2","rep2","2","ST",1.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",5.15,20
"27","STP_rep2","rep2","P","ST",1.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",5.14,4
"28","SU1_rep2","rep2","1","SU",1.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",5,20
"29","SU2_rep2","rep2","2","SU",1.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",5.16,4
"30","SUP_rep2","rep2","P","SU",1.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",5.16,20
"31","ST1_rep3","rep3","1","ST",1.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",5.09,4
"32","ST2_rep3","rep3","2","ST",1.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",5.13,20
"33","STP_rep3","rep3","P","ST",1.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",5.18,4
"34","SU1_rep3","rep3","1","SU",1.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",5.11,20
"35","SU2_rep3","rep3","2","SU",1.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",5.14,4
"36","SUP_rep3","rep3","P","SU",1.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",5.06,20
"37","ST1_rep1","rep1","1","ST",8.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",4.72,4
"38","ST2_rep1","rep1","2","ST",8.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",4.21,20
"39","STP_rep1","rep1","P","ST",8.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",4.79,4
"40","SU1_rep1","rep1","1","SU",8.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",4.31,20
"41","SU2_rep1","rep1","2","SU",8.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",4.7,4
"42","SUP_rep1","rep1","P","SU",8.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",4.34,20
"43","ST1_rep2","rep2","1","ST",8.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",4.77,4
"44","ST2_rep2","rep2","2","ST",8.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",4.22,20
"45","STP_rep2","rep2","P","ST",8.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",4.88,4
"46","SU1_rep2","rep2","1","SU",8.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",4.23,20
"47","SU2_rep2","rep2","2","SU",8.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",4.73,4
"48","SUP_rep2","rep2","P","SU",8.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",4.48,20
"49","ST1_rep3","rep3","1","ST",8.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",4.97,4
"50","ST2_rep3","rep3","2","ST",8.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",4.13,20
"51","STP_rep3","rep3","P","ST",8.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",4.78,4
"52","SU1_rep3","rep3","1","SU",8.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",4.22,20
"53","SU2_rep3","rep3","2","SU",8.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",4.8,4
"54","SUP_rep3","rep3","P","SU",8.001,"Delphinidin.3.O.sambubioside.5.O.glucoside",4.39,20
