"","X","rep","processing","sweetener","tiempo","Concentracion","Species","Temp","yhat","compound"
"1","ST1_rep1","rep1","1","ST",9.9999999999989e-05,15.35,"Ascorbic",4,12.1126037523337,"Ascorbic"
"2","ST2_rep1","rep1","2","ST",9.9999999999989e-05,15.35,"Ascorbic",20,12.1126037523337,"Ascorbic"
"3","STP_rep1","rep1","P","ST",9.9999999999989e-05,15.35,"Ascorbic",4,12.1126037523337,"Ascorbic"
"4","SU1_rep1","rep1","1","SU",9.9999999999989e-05,14.96,"Ascorbic",20,12.1126037523337,"Ascorbic"
"5","SU2_rep1","rep1","2","SU",9.9999999999989e-05,14.96,"Ascorbic",4,12.1126037523337,"Ascorbic"
"6","SUP_rep1","rep1","P","SU",9.9999999999989e-05,14.96,"Ascorbic",20,12.1126037523337,"Ascorbic"
"7","ST1_rep2","rep2","1","ST",9.9999999999989e-05,14.97,"Ascorbic",4,12.1126037523337,"Ascorbic"
"8","ST2_rep2","rep2","2","ST",9.9999999999989e-05,14.97,"Ascorbic",20,12.1126037523337,"Ascorbic"
"9","STP_rep2","rep2","P","ST",9.9999999999989e-05,14.97,"Ascorbic",4,12.1126037523337,"Ascorbic"
"10","SU1_rep2","rep2","1","SU",9.9999999999989e-05,14.72,"Ascorbic",20,12.1126037523337,"Ascorbic"
"11","SU2_rep2","rep2","2","SU",9.9999999999989e-05,14.72,"Ascorbic",4,12.1126037523337,"Ascorbic"
"12","SUP_rep2","rep2","P","SU",9.9999999999989e-05,14.72,"Ascorbic",20,12.1126037523337,"Ascorbic"
"13","ST1_rep3","rep3","1","ST",9.9999999999989e-05,15.88,"Ascorbic",4,12.1126037523337,"Ascorbic"
"14","ST2_rep3","rep3","2","ST",9.9999999999989e-05,15.88,"Ascorbic",20,12.1126037523337,"Ascorbic"
"15","STP_rep3","rep3","P","ST",9.9999999999989e-05,15.88,"Ascorbic",4,12.1126037523337,"Ascorbic"
"16","SU1_rep3","rep3","1","SU",9.9999999999989e-05,15,"Ascorbic",20,12.1126037523337,"Ascorbic"
"17","SU2_rep3","rep3","2","SU",9.9999999999989e-05,15,"Ascorbic",4,12.1126037523337,"Ascorbic"
"18","SUP_rep3","rep3","P","SU",9.9999999999989e-05,15,"Ascorbic",20,12.1126037523337,"Ascorbic"
"19","ST1_rep1","rep1","1","ST",1.0001,12.12,"Ascorbic",4,12,"Ascorbic"
"20","ST2_rep1","rep1","2","ST",1.0001,11.78,"Ascorbic",20,12,"Ascorbic"
"21","STP_rep1","rep1","P","ST",1.0001,11.61,"Ascorbic",4,12,"Ascorbic"
"22","SU1_rep1","rep1","1","SU",1.0001,12.2,"Ascorbic",20,12,"Ascorbic"
"23","SU2_rep1","rep1","2","SU",1.0001,11.46,"Ascorbic",4,12,"Ascorbic"
"24","SUP_rep1","rep1","P","SU",1.0001,11.5,"Ascorbic",20,12,"Ascorbic"
"25","ST1_rep2","rep2","1","ST",1.0001,12.31,"Ascorbic",4,12,"Ascorbic"
"26","ST2_rep2","rep2","2","ST",1.0001,12.05,"Ascorbic",20,12,"Ascorbic"
"27","STP_rep2","rep2","P","ST",1.0001,11.95,"Ascorbic",4,12,"Ascorbic"
"28","SU1_rep2","rep2","1","SU",1.0001,11.78,"Ascorbic",20,12,"Ascorbic"
"29","SU2_rep2","rep2","2","SU",1.0001,12.2,"Ascorbic",4,12,"Ascorbic"
"30","SUP_rep2","rep2","P","SU",1.0001,12.18,"Ascorbic",20,12,"Ascorbic"
"31","ST1_rep3","rep3","1","ST",1.0001,12.34,"Ascorbic",4,12,"Ascorbic"
"32","ST2_rep3","rep3","2","ST",1.0001,12.52,"Ascorbic",20,12,"Ascorbic"
"33","STP_rep3","rep3","P","ST",1.0001,11.63,"Ascorbic",4,12,"Ascorbic"
"34","SU1_rep3","rep3","1","SU",1.0001,12.8,"Ascorbic",20,12,"Ascorbic"
"35","SU2_rep3","rep3","2","SU",1.0001,12.05,"Ascorbic",4,12,"Ascorbic"
"36","SUP_rep3","rep3","P","SU",1.0001,12.46,"Ascorbic",20,12,"Ascorbic"
"37","ST1_rep1","rep1","1","ST",8.0001,10.09,"Ascorbic",4,11.1294331572203,"Ascorbic"
"38","ST2_rep1","rep1","2","ST",8.0001,7.67,"Ascorbic",20,11.1294331572203,"Ascorbic"
"39","STP_rep1","rep1","P","ST",8.0001,8.41,"Ascorbic",4,11.1294331572203,"Ascorbic"
"40","SU1_rep1","rep1","1","SU",8.0001,7.7,"Ascorbic",20,11.1294331572203,"Ascorbic"
"41","SU2_rep1","rep1","2","SU",8.0001,9.06,"Ascorbic",4,11.1294331572203,"Ascorbic"
"42","SUP_rep1","rep1","P","SU",8.0001,4.21,"Ascorbic",20,11.1294331572203,"Ascorbic"
"43","ST1_rep2","rep2","1","ST",8.0001,9.39,"Ascorbic",4,11.1294331572203,"Ascorbic"
"44","ST2_rep2","rep2","2","ST",8.0001,8.8,"Ascorbic",20,11.1294331572203,"Ascorbic"
"45","STP_rep2","rep2","P","ST",8.0001,9.71,"Ascorbic",4,11.1294331572203,"Ascorbic"
"46","SU1_rep2","rep2","1","SU",8.0001,7.69,"Ascorbic",20,11.1294331572203,"Ascorbic"
"47","SU2_rep2","rep2","2","SU",8.0001,10.42,"Ascorbic",4,11.1294331572203,"Ascorbic"
"48","SUP_rep2","rep2","P","SU",8.0001,4.86,"Ascorbic",20,11.1294331572203,"Ascorbic"
"49","ST1_rep3","rep3","1","ST",8.0001,9.9,"Ascorbic",4,11.1294331572203,"Ascorbic"
"50","ST2_rep3","rep3","2","ST",8.0001,8.19,"Ascorbic",20,11.1294331572203,"Ascorbic"
"51","STP_rep3","rep3","P","ST",8.0001,9.95,"Ascorbic",4,11.1294331572203,"Ascorbic"
"52","SU1_rep3","rep3","1","SU",8.0001,7.49,"Ascorbic",20,11.1294331572203,"Ascorbic"
"53","SU2_rep3","rep3","2","SU",8.0001,9.56,"Ascorbic",4,11.1294331572203,"Ascorbic"
"54","SUP_rep3","rep3","P","SU",8.0001,4.66,"Ascorbic",20,11.1294331572203,"Ascorbic"
"55","ST1_rep1","rep1","1","ST",16.0001,6.77,"Ascorbic",4,10.1064880552078,"Ascorbic"
"56","ST2_rep1","rep1","2","ST",16.0001,5.38,"Ascorbic",20,10.1064880552078,"Ascorbic"
"57","STP_rep1","rep1","P","ST",16.0001,6.86,"Ascorbic",4,10.1064880552078,"Ascorbic"
"58","SU1_rep1","rep1","1","SU",16.0001,5.08,"Ascorbic",20,10.1064880552078,"Ascorbic"
"59","SU2_rep1","rep1","2","SU",16.0001,7.54,"Ascorbic",4,10.1064880552078,"Ascorbic"
"60","SUP_rep1","rep1","P","SU",16.0001,2.5,"Ascorbic",20,10.1064880552078,"Ascorbic"
"61","ST1_rep2","rep2","1","ST",16.0001,8.7,"Ascorbic",4,10.1064880552078,"Ascorbic"
"62","ST2_rep2","rep2","2","ST",16.0001,4.96,"Ascorbic",20,10.1064880552078,"Ascorbic"
