"","numDF","F-value","p-value"
"C0.(Intercept)",1,451633.551031614,0
"C0.compound",5,19416.2360532374,0
"C0.compound:sweetener",6,225.091089196167,6.57726343819322e-167
"C0.compound:processing",12,240.768516013335,1.35791978043871e-253
"Cinf.(Intercept)",1,105555.992855562,0
"Cinf.compound",5,4287.82440420392,0
"Cinf.compound:sweetener",6,143.54440647591,1.10329073749379e-122
"Cinf.compound:processing",12,335.573482802721,1.73378255888603e-299
"lk.(Intercept)",1,43734.9974797671,0
"lk.compound",5,8.60377117895291,5.99452188450693e-08
"lk.compound:sweetener",6,402.211970114325,1.15572316906682e-235
"lk.compound:processing",12,227.139586293884,7.49209717821473e-246
"Ea.(Intercept)",1,942.649581946735,1.16824468601326e-136
"Ea.compound",5,0.785164280337709,0.560479800249205
