,X.concentration_Ascorbic.,Effect,DFn,DFd,F,p,p..05,ges,X.concentration_Dehydroascorbic.,Effect.1,DFn.1,DFd.1,F.1,p.1,p..05.1,ges.1
1,concentration_Ascorbic,tiempo,1,588,1433.316,8.55E-160,*,0.709,concentration_Dehydroascorbic,tiempo,1,588,1568.561,4.54E-168,*,0.727
2,concentration_Ascorbic,sweetener,1,588,12.553,0.000427,*,0.021,concentration_Dehydroascorbic,sweetener,1,588,56.001,2.66E-13,*,0.087
3,concentration_Ascorbic,processing,2,588,14.517,7.01E-07,*,0.047,concentration_Dehydroascorbic,processing,2,588,11.266,1.58E-05,*,0.037
4,concentration_Ascorbic,tiempo:sweetener,1,588,0.062,0.803,,0.000106,concentration_Dehydroascorbic,tiempo:sweetener,1,588,8.948,0.003,*,0.015
5,concentration_Ascorbic,tiempo:processing,2,588,0.981,0.376,,0.003,concentration_Dehydroascorbic,tiempo:processing,2,588,0.197,0.821,,0.000671
6,concentration_Ascorbic,sweetener:processing,2,588,0.088,0.915,,3.00E-04,concentration_Dehydroascorbic,sweetener:processing,2,588,0.153,0.858,,0.000519
7,concentration_Ascorbic,tiempo:sweetener:processing,2,588,0.038,0.963,,0.000128,concentration_Dehydroascorbic,tiempo:sweetener:processing,2,588,0.09,0.914,,0.000306
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,8.55E-160,0.803,0.376,0.963,,,,,4.54E-168,0.003,0.821,0.914
