"","x"
"C0.(Intercept)",5.14765326683594
"C0.compoundDelphinidin.3.5.O.diglucoside",-0.689415598305751
"C0.compoundCyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",-2.92511127752026
"C0.compoundDelphinidin.3.O.sambubioside",-3.61658328052119
"C0.compoundDelphinidin.3.O.glucoside",-1.20160353206495
"C0.compoundCyanidin.3.O.sambubioside..Cyanidin.3.O.glucoside",-3.77768218930472
"Cinf.(Intercept)",1.03049595631484
"Cinf.compoundDelphinidin.3.5.O.diglucoside",0.170562940217946
"Cinf.compoundCyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",-0.645634759896665
"Cinf.compoundDelphinidin.3.O.sambubioside",-0.954918071707029
"Cinf.compoundDelphinidin.3.O.glucoside",-0.736223136900072
"Cinf.compoundCyanidin.3.O.sambubioside..Cyanidin.3.O.glucoside",-0.89333537295384
"lk.(Intercept)",-3.97397777419321
"lk.compoundDelphinidin.3.5.O.diglucoside",0.666825390243992
"lk.compoundCyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",0.115677675817033
"lk.compoundDelphinidin.3.O.sambubioside",0.114258727375674
"lk.compoundDelphinidin.3.O.glucoside",0.392897618814381
"lk.compoundCyanidin.3.O.sambubioside..Cyanidin.3.O.glucoside",0.321416735845191
"Ea.(Intercept)",72.0844624347677
"Ea.compoundDelphinidin.3.5.O.diglucoside",-5.10704050809111
"Ea.compoundCyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside",-3.55839709010709
"Ea.compoundDelphinidin.3.O.sambubioside",-11.2167400627684
"Ea.compoundDelphinidin.3.O.glucoside",-6.68425158902369
"Ea.compoundCyanidin.3.O.sambubioside..Cyanidin.3.O.glucoside",-8.10052069137791
