,X.concentration_Delphinidin.3.O.sambubioside.5.O.glucoside.,Effect,DFn,DFd,F,p,p..05,ges,X.concentration_Delphinidin.3.5.O.diglucoside.,Effect.1,DFn.1,DFd.1,F.1,p.1,p..05.1,ges.1,X.concentration_Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside.,Effect.2,DFn.2,DFd.2,F.2,p.2,p..05.2,ges.2,X.concentration_Delphinidin.3.O.sambubioside.,Effect.3,DFn.3,DFd.3,F.3,p.3,p..05.3,ges.3,X.concentration_Delphinidin.3.O.glucoside.,Effect.4,DFn.4,DFd.4,F.4,p.4,p..05.4,ges.4,X.concentration_Cyanidin.3.O.sambubioside..Cyanidin.3.O.glucoside.,Effect.5,DFn.5,DFd.5,F.5,p.5,p..05.5,ges.5
1,concentration_Delphinidin.3.O.sambubioside.5.O.glucoside,processing,2,6,0.136,0.875,,0.038,concentration_Delphinidin.3.5.O.diglucoside,processing,2,6,0.532,0.613,,0.141,concentration_Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside,processing,2,6,0.184,0.836,,0.052,concentration_Delphinidin.3.O.sambubioside,processing,2,6,0.176,0.843,,0.049,concentration_Delphinidin.3.O.glucoside,processing,2,6,0.04,0.961,,0.012,concentration_Cyanidin.3.O.sambubioside..Cyanidin.3.O.glucoside,processing,2,6,0.03,0.971,,0.009
2,concentration_Delphinidin.3.O.sambubioside.5.O.glucoside,sweetener,1,6,0.702,0.434,,0.093,concentration_Delphinidin.3.5.O.diglucoside,sweetener,1,6,0.149,0.713,,0.022,concentration_Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside,sweetener,1,6,0.341,0.58,,0.048,concentration_Delphinidin.3.O.sambubioside,sweetener,1,6,1.127,0.329,,0.142,concentration_Delphinidin.3.O.glucoside,sweetener,1,6,0.026,0.878,,0.004,concentration_Cyanidin.3.O.sambubioside..Cyanidin.3.O.glucoside,sweetener,1,6,0.014,0.911,,0.002
3,concentration_Delphinidin.3.O.sambubioside.5.O.glucoside,tiempo,49,294,41.764,6.91E-106,*,0.466,concentration_Delphinidin.3.5.O.diglucoside,tiempo,49,294,67.031,1.67E-132,*,0.465,concentration_Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside,tiempo,49,294,43.201,9.78E-108,*,0.434,concentration_Delphinidin.3.O.sambubioside,tiempo,49,294,70.651,1.51E-135,*,0.576,concentration_Delphinidin.3.O.glucoside,tiempo,49,294,63.117,4.87E-129,*,0.534,concentration_Cyanidin.3.O.sambubioside..Cyanidin.3.O.glucoside,tiempo,49,294,66.705,3.19E-132,*,0.556
4,concentration_Delphinidin.3.O.sambubioside.5.O.glucoside,processing:sweetener,2,6,0.296,0.754,,0.079,concentration_Delphinidin.3.5.O.diglucoside,processing:sweetener,2,6,0.002,0.998,,0.000742,concentration_Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside,processing:sweetener,2,6,0.032,0.969,,0.009,concentration_Delphinidin.3.O.sambubioside,processing:sweetener,2,6,0.25,0.787,,0.069,concentration_Delphinidin.3.O.glucoside,processing:sweetener,2,6,0.108,0.9,,0.031,concentration_Cyanidin.3.O.sambubioside..Cyanidin.3.O.glucoside,processing:sweetener,2,6,0.211,0.816,,0.059
5,concentration_Delphinidin.3.O.sambubioside.5.O.glucoside,processing:tiempo,98,294,0.619,0.997,,0.025,concentration_Delphinidin.3.5.O.diglucoside,processing:tiempo,98,294,1.055,0.362,,0.027,concentration_Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside,processing:tiempo,98,294,0.272,1,,0.01,concentration_Delphinidin.3.O.sambubioside,processing:tiempo,98,294,0.86,0.808,,0.032,concentration_Delphinidin.3.O.glucoside,processing:tiempo,98,294,0.69,0.984,,0.024,concentration_Cyanidin.3.O.sambubioside..Cyanidin.3.O.glucoside,processing:tiempo,98,294,0.55,1,,0.02
6,concentration_Delphinidin.3.O.sambubioside.5.O.glucoside,sweetener:tiempo,49,294,1.934,0.000474,*,0.039,concentration_Delphinidin.3.5.O.diglucoside,sweetener:tiempo,49,294,0.053,1,,0.000686,concentration_Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside,sweetener:tiempo,49,294,0.616,0.979,,0.011,concentration_Delphinidin.3.O.sambubioside,sweetener:tiempo,49,294,1.836,0.001,*,0.034,concentration_Delphinidin.3.O.glucoside,sweetener:tiempo,49,294,1.002,0.476,,0.018,concentration_Cyanidin.3.O.sambubioside..Cyanidin.3.O.glucoside,sweetener:tiempo,49,294,1.032,0.422,,0.019
7,concentration_Delphinidin.3.O.sambubioside.5.O.glucoside,processing:sweetener:tiempo,98,294,0.408,1,,0.017,concentration_Delphinidin.3.5.O.diglucoside,processing:sweetener:tiempo,98,294,0.003,1,,9.01E-05,concentration_Cyanidin.3.O.sambubioside.5.O.glucoside...Cyanidin.3.5.O.diglucoside,processing:sweetener:tiempo,98,294,0.043,1,,0.002,concentration_Delphinidin.3.O.sambubioside,processing:sweetener:tiempo,98,294,0.386,1,,0.015,concentration_Delphinidin.3.O.glucoside,processing:sweetener:tiempo,98,294,0.142,1,,0.005,concentration_Cyanidin.3.O.sambubioside..Cyanidin.3.O.glucoside,processing:sweetener:tiempo,98,294,0.313,1,,0.012
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6.91E-106,0.997,0.000474,1,,,,,,1.67E-132,0.362,1,1,,,9.78E-108,1,0.979,1,,,,,,,,,,,,,,,,,,,,,,,,,
